COUNTY,SURVY_YYYYMM,SURVY_QUESTN_SHORT_DESC,SURVY_QUESTN_LONG_DESC,QUESTION_NUM,Q1_RESP_COUNT,Q2_RESP_COUNT,Q3_RESP_COUNT,Q4_RESP_COUNT,Q5_RESP_COUNT,Q6_RESP_COUNT,Q7_RESP_COUNT,Q8_RESP_COUNT,Q9_RESP_COUNT,Q10_RESP_COUNT,ETL_RUN_TIMESTAMP
Adams,202102,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,202012,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,202010,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,202009,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,202008,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,202006,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,202003,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,202001,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201910,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,201908,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201907,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,201906,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201904,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201811,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201810,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Adams,201809,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Adams,201808,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Bartholomew,202103,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Bartholomew,202011,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Bartholomew,201908,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Bartholomew,201906,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Bartholomew,201809,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,2,2021.03.29 09:03:20.985000000
Benton,202010,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Benton,202004,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Benton,202002,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
Benton,201911,Not engaged in regular exercise,"In the last 12 months, other than household activities or work, do you engage in moderate exercise (walking fast, jogging, swimming, biking, or weight lifting) at least three times per week?",10,0,0,0,0,0,0,0,0,0,1,2021.03.29 09:03:20.985000000
