County Name,Counties With Inpatient Delivery Services Available,Counties With Hospital
Adams,Y,Y
Allen,Y,Y
Bartholomew,Y,Y
Benton,N,N
Blackford,N,Y
Boone,Y,Y
Brown,N,N
Carroll,N,N
Cass,Y,Y
Clark,Y,Y
Clay,N,Y
Clinton,N,Y
Crawford,N,N
Daviess,Y,Y
Dearborn,Y,Y
Decatur,Y,Y
DeKalb,Y,Y
Delaware,Y,Y
Dubois,Y,Y
Elkhart,Y,Y
Fayette,N,Y
Floyd,Y,Y
Fountain,N,N
Franklin,N,N
Fulton,Y,Y
Gibson,N,Y
Grant,Y,Y
Greene,Y,Y
Hamilton,Y,Y
Hancock,Y,Y
Harrison,Y,Y
Hendricks,Y,Y
Henry,Y,Y
Howard,Y,Y
Huntington,Y,Y
Jackson,Y,Y
Jasper,N,Y
Jay,Y,Y
Jefferson,Y,Y
Jennings,N,Y
Johnson,Y,Y
Knox,Y,Y
Kosciusko,Y,Y
LaGrange,Y,Y
Lake,Y,Y
LaPorte,Y,Y
Lawrence,Y,Y
Madison,Y,Y
Marion,Y,Y
Marshall,Y,Y
Martin,N,N
Miami,Y,Y
Monroe,Y,Y
Montgomery,N,Y
Morgan,Y,Y
Newton,N,N
Noble,Y,Y
Ohio,N,N
Orange,Y,Y
Owen,N,N
Parke,N,N
Perry,Y,Y
Pike,N,N
Porter,Y,Y
Posey,N,N
Pulaski,Y,Y
Putnam,N,Y
Randolph,Y,Y
Ripley,Y,Y
Rush,N,Y
Scott,N,Y
Shelby,Y,Y
Spencer,N,N
St. Joseph,Y,Y
Starke,N,Y
Steuben,Y,Y
Sullivan,Y,Y
Switzerland,N,N
Tippecanoe,Y,Y
Tipton,N,Y
Union,N,N
Vanderburgh,Y,Y
Vermillion,N,Y
Vigo,Y,Y
Wabash,Y,Y
Warren,N,Y
Warrick,Y,Y
Washington,N,Y
Wayne,Y,Y
Wells,Y,Y
White,N,Y
Whitley,Y,Y
