COUNTY,FEMALE_COUNT,MALE_COUNT,18-22_COUNT,23-27_COUNT,28-32_COUNT,33-37_COUNT,38-42_COUNT,43-47_COUNT,48-52_COUNT,53-57_COUNT,58-62_COUNT,MARRIED_COUNT,SEPARATED_COUNT,DIVORCED_COUNT,SINGLE_COUNT,WIDOWED_COUNT,BLACK_COUNT,WHITE_COUNT,CITIZEN_COUNT,NO_FORMAL_ED_COUNT,NO_HS_DIPLOMA_COUNT,HS_DIPLOMA_COUNT,ATTENDING_SCHOOL_COUNT,QUESTION_NUM,QUESTION_LONG_DESC,QUESTION_SHORT_DESC,QUESTION_COUNT,COUNTY_COUNT,ETL_RUN_TIMESTAMP
Adams ,394,156,84,106,89,63,59,45,25,30,,112,41,98,288,,,494,547,26,95,133,68,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,550,1066,2021.03.28 22:00:05
Allen ,7916,2849,1420,1873,1876,1512,1241,847,671,469,345,1509,711,1260,6858,158,3168,6225,10562,727,2096,1857,1508,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,10765,20940,2021.03.28 22:00:05
Bartholomew ,1573,580,213,364,380,324,253,166,142,108,74,402,189,414,1081,41,75,1899,2098,116,284,412,447,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2153,3837,2021.03.28 22:00:05
Benton ,140,53,25,29,31,26,25,21,,,,56,,24,88,,0,181,193,,42,50,,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,193,391,2021.03.28 22:00:05
Blackford ,299,96,45,69,76,48,45,38,24,26,,101,31,60,194,,,378,395,,69,98,50,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,395,701,2021.03.28 22:00:05
Boone ,719,284,103,167,176,135,104,108,56,67,44,193,77,193,479,21,43,904,1001,132,270,266,86,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1003,1965,2021.03.28 22:00:05
Brown ,225,86,30,49,43,38,43,25,23,,,80,,48,146,,,299,310,25,68,52,46,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,311,616,2021.03.28 22:00:05
Carroll ,287,87,28,59,61,55,49,48,,21,,93,25,83,157,,,348,371,32,84,58,46,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,374,709,2021.03.28 22:00:05
Cass ,658,240,117,149,133,137,118,96,47,36,26,167,97,151,456,,29,759,879,48,220,157,116,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,898,1646,2021.03.28 22:00:05
Clark ,2770,981,380,594,652,575,434,313,265,210,141,570,304,590,2140,78,571,2862,3657,218,605,571,805,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3751,6354,2021.03.28 22:00:05
Clay ,624,239,83,128,132,113,111,81,75,43,39,219,76,161,371,25,,824,858,89,276,230,61,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,863,1715,2021.03.28 22:00:05
Clinton ,649,290,91,156,175,139,131,60,56,53,28,198,103,143,451,,,843,921,102,348,212,60,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,939,1849,2021.03.28 22:00:05
Crawford ,231,85,25,44,53,38,39,36,24,,21,96,29,61,111,,,301,315,26,98,80,26,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,316,668,2021.03.28 22:00:05
Daviess,522,194,75,117,122,105,103,56,39,30,24,151,76,161,302,,22,646,703,86,224,158,41,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,716,1434,2021.03.28 22:00:05
Dearborn ,792,284,115,157,179,153,161,112,88,48,29,188,108,146,602,,23,1013,1053,63,149,126,247,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1076,1806,2021.03.28 22:00:05
Decatur ,590,184,89,118,123,111,107,88,45,35,24,146,79,172,343,22,,733,763,27,90,142,178,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,775,1324,2021.03.28 22:00:05
Dekalb ,725,252,117,152,165,146,125,90,72,37,,222,76,165,478,,,911,977,76,221,139,109,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,977,1830,2021.03.28 22:00:05
Delaware ,2976,1347,686,713,613,554,544,371,297,223,135,620,373,680,2477,96,625,3470,4310,255,765,900,709,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,4323,7719,2021.03.28 22:00:05
Dubois ,479,158,63,99,127,82,89,43,46,27,30,121,54,146,292,,,575,628,93,191,151,38,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,637,1276,2021.03.28 22:00:05
Elkhart ,4162,1437,653,944,977,798,621,445,374,272,188,915,517,734,3166,96,965,3828,5468,589,1406,1429,410,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,5599,11011,2021.03.28 22:00:05
Fayette ,645,271,119,125,143,138,123,93,62,43,30,202,92,145,448,24,,867,887,52,123,105,243,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,917,1584,2021.03.28 22:00:05
Floyd ,1566,552,242,330,359,334,274,185,152,101,48,296,190,298,1261,37,328,1674,2076,104,234,452,450,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2118,3606,2021.03.28 22:00:05
Fountain ,324,107,52,75,77,51,54,39,26,22,,96,38,82,188,,,407,428,36,118,128,37,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,431,873,2021.03.28 22:00:05
Franklin ,358,104,55,82,73,67,48,50,34,,,107,49,77,211,,,438,452,26,62,75,123,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,462,839,2021.03.28 22:00:05
Fulton ,379,152,62,89,102,65,56,46,37,25,,115,33,69,291,,,498,530,50,122,127,39,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,531,1026,2021.03.28 22:00:05
Gibson ,569,207,84,144,111,116,78,84,56,37,24,166,64,152,362,,26,714,771,113,143,251,50,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,776,1683,2021.03.28 22:00:05
Grant ,1703,694,331,415,354,326,271,221,163,131,85,398,180,374,1364,42,285,1931,2390,132,385,525,334,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2397,4373,2021.03.28 22:00:05
Greene ,633,227,101,125,152,109,119,87,62,36,33,227,62,179,361,,,834,860,83,322,192,47,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,860,1717,2021.03.28 22:00:05
Hamilton ,2065,768,337,430,493,378,356,216,203,157,116,539,194,425,1532,36,378,2089,2737,447,530,840,257,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2833,6142,2021.03.28 22:00:05
Hancock ,926,377,127,191,182,236,176,113,97,62,47,230,91,261,679,24,49,1176,1275,104,143,268,277,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1303,2397,2021.03.28 22:00:05
Harrison ,679,253,97,122,133,153,137,85,71,38,42,236,81,197,367,24,,892,922,65,210,115,157,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,932,1680,2021.03.28 22:00:05
Hendricks ,1795,612,258,378,397,386,310,189,169,98,86,463,174,355,1267,42,335,1865,2355,506,567,585,230,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2407,4917,2021.03.28 22:00:05
Henry ,1146,470,185,231,277,218,203,156,126,98,50,334,138,296,792,34,34,1502,1581,60,248,257,344,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1616,2744,2021.03.28 22:00:05
Howard ,2282,837,368,543,500,482,402,261,188,163,93,531,254,495,1709,66,502,2429,3115,194,710,604,467,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3120,5617,2021.03.28 22:00:05
Huntington ,623,213,104,113,139,130,98,92,53,43,26,193,94,159,352,,,781,832,54,157,204,94,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,836,1623,2021.03.28 22:00:05
Jackson ,852,261,111,194,194,174,125,109,60,54,27,229,109,217,534,,22,1018,1084,51,125,223,221,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1113,2041,2021.03.28 22:00:05
Jasper ,473,188,72,116,110,103,78,60,36,35,24,169,62,105,299,,,604,661,58,112,175,55,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,661,1254,2021.03.28 22:00:05
Jay ,387,139,78,84,85,54,61,47,39,30,,105,62,78,256,,,485,525,33,101,96,55,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,526,968,2021.03.28 22:00:05
Jefferson ,743,269,128,152,147,144,131,105,70,49,40,184,95,180,509,28,,935,991,56,118,168,208,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1012,1739,2021.03.28 22:00:05
Jennings ,651,202,94,138,146,116,99,60,73,57,34,192,78,193,362,,,803,832,36,172,89,177,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,853,1504,2021.03.28 22:00:05
Johnson ,2491,976,399,586,556,513,431,290,252,164,112,637,242,563,1836,70,217,3017,3414,471,896,927,359,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3467,6676,2021.03.28 22:00:05
Knox ,930,384,196,209,203,187,164,109,76,71,39,251,112,246,653,22,50,1201,1309,103,358,393,130,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1314,2640,2021.03.28 22:00:05
Kosciusko ,1377,469,198,277,353,277,246,151,113,92,60,401,184,320,861,32,44,1635,1820,164,409,412,189,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1846,3326,2021.03.28 22:00:05
Lagrange ,360,116,61,79,87,65,38,60,37,,,106,52,79,216,,,429,471,63,130,89,35,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,476,899,2021.03.28 22:00:05
Lake ,9998,3842,1656,2425,2304,1868,1681,1250,954,603,503,1540,798,1268,9734,218,6552,4620,13699,902,3173,3014,1252,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,13840,28254,2021.03.28 22:00:05
Laporte ,2515,1009,514,569,560,478,419,307,213,173,129,495,242,452,2175,69,725,2514,3498,275,1316,417,287,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3524,6930,2021.03.28 22:00:05
Lawrence ,927,385,136,228,243,174,159,100,79,73,62,278,97,273,612,26,,1253,1310,172,414,281,85,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1313,2604,2021.03.28 22:00:05
