_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
132,46058,626,2149,29.1298
144,47385,375,1612,23.263
153,46070,515,2351,21.9055
156,46745,445,1841,24.1716
158,46974,349,1699,20.5414
166,47469,446,1749,25.5002
167,47513,396,1841,21.51
174,46076,358,1696,21.1084
175,46216,498,1697,29.3459
179,46747,625,2693,23.2083
183,47342,506,2693,18.7894
187,47470,360,1735,20.7492
188,47514,300,1559,19.2431
194,47619,490,1696,28.8915
195,47631,466,2042,22.8207
196,47637,414,1507,27.4717
199,47841,430,2138,20.1122
203,46017,1397,6025,23.1867
208,47163,347,1746,19.8739
212,47360,324,1546,20.9573
216,47848,366,1691,21.6439
222,46068,649,2850,22.7719
223,46105,455,1928,23.5995
227,46571,469,5532,8.4779
228,46702,541,2304,23.4809
232,46788,637,3260,19.5398
234,47038,261,1504,17.3537
241,47561,416,1588,26.1964
245,47840,334,1500,22.2666
247,47862,383,1610,23.7888
249,47951,422,2252,18.7388
254,46147,562,3264,17.2181
256,46763,358,1631,21.9497
258,46986,435,1915,22.7154
259,46991,419,1797,23.3166
260,47115,568,2622,21.6628
261,47145,426,1998,21.3213
262,47230,509,2029,25.0862
263,47272,416,2041,20.3821
264,47273,480,1849,25.9599
266,47373,527,2226,23.6747
267,47436,301,1663,18.0998
268,47527,499,1897,26.3046
269,47579,682,2659,25.6487
270,47581,660,3883,16.9971
271,47850,559,2456,22.7605
272,47922,431,1623,26.5557
274,47977,589,2206,26.6999
275,47995,415,1743,23.8095
276,46030,701,3308,21.191
277,46056,524,2246,23.3303
278,46065,864,3669,23.5486
279,46149,428,1890,22.6455
281,46510,709,3631,19.5263
282,46532,353,1905,18.5301
283,46543,533,3654,14.5867
284,46737,1716,7068,24.2784
286,46917,413,1853,22.2881
287,46982,581,2573,22.5806
288,47326,274,2295,11.9389
290,47523,908,3435,26.4337
291,47532,1123,4627,24.2705
292,47598,972,3418,28.4376
295,47928,353,2047,17.2447
299,46171,417,1695,24.6017
300,46524,324,2326,13.9294
301,46705,434,1583,27.4162
303,46794,279,1587,17.5803
304,46798,307,1661,18.4828
306,46939,416,2101,19.8
308,46979,1235,4733,26.0933
311,47023,377,1636,23.044
312,47030,365,1636,22.3105
313,47031,1264,5368,23.5469
314,47037,990,4333,22.8479
315,47042,1163,4504,25.8214
317,47141,348,1668,20.8633
319,47340,566,2914,19.4234
320,47341,508,2283,22.2514
321,47346,897,4082,21.9745
322,47356,1493,5781,25.8259
323,47393,282,1704,16.5492
326,47615,344,1611,21.3531
327,46051,660,2826,23.3545
328,46160,1415,6421,22.037
329,46186,421,1753,24.0159
330,46205,5538,25356,21.8409
331,46278,1626,8197,19.8365
332,46311,4933,20816,23.6981
333,46542,967,4198,23.0347
334,46555,641,2835,22.6102
335,46770,653,2716,24.0427
336,46773,941,3662,25.6963
337,46933,1701,6414,26.5201
338,47032,965,3289,29.3402
