_id,Zip Code,City,Population,Percentage Latino
1,46312,"East Chicago, Indiana",32385,0.5163
2,46327,"Hammond, Indiana",12075,0.3739
3,46767,"Ligonier, Indiana",8003,0.2630
4,46320,"Hammond, Indiana",16539,0.2363
5,46405,"Lake Station, Indiana",12898,0.2165
6,46394,"Whiting, Indiana",12728,0.1966
7,46619,"South Bend, Indiana",20687,0.1848
8,46732,"Cromwell, Indiana",3389,0.1782
9,46324,"Hammond, Indiana",23248,0.1699
10,46323,"Hammond, Indiana",23624,0.1656
11,46613,"South Bend, Indiana",12066,0.1418
12,46528,"Goshen, Indiana",21760,0.1411
13,46516,"Elkhart, Indiana",35145,0.1410
14,46802,"Fort Wayne, Indiana",11677,0.1282
15,46526,"Goshen, Indiana",27670,0.1194
16,46406,"Gary, Indiana",12245,0.1175
17,47959,"Monon, Indiana",2921,0.1160
18,47901,"Lafayette, Indiana",3506,0.1149
19,46517,"Elkhart, Indiana",20476,0.1114
20,46806,"Fort Wayne, Indiana",27303,0.1031
21,46368,"Portage, Indiana",35709,0.0958
22,46041,"Frankfort, Indiana",24929,0.0956
23,46410,"Merrillville, Indiana",32841,0.0943
24,46803,"Fort Wayne, Indiana",10049,0.0924
25,46201,"Indianapolis, Indiana",39156,0.0924
26,46746,"Howe, Indiana",4106,0.0923
27,46342,"Hobart, Indiana",29253,0.0909
28,46947,"Logansport, Indiana",30180,0.0895
29,47917,"Ambia, Indiana",462,0.0887
30,46807,"Fort Wayne, Indiana",17337,0.0885
31,46224,"Indianapolis, Indiana",35166,0.0880
32,46590,"Winona Lake, Indiana",3747,0.0867
33,46910,"Akron, Indiana",3163,0.0828
34,47943,"Fair Oaks, Indiana",763,0.0825
35,46319,"Griffith, Indiana",19174,0.0820
36,47904,"Lafayette, Indiana",16151,0.0811
37,47921,"Boswell, Indiana",1152,0.0781
38,46563,"Plymouth, Indiana",22188,0.0775
39,46254,"Indianapolis, Indiana",34845,0.0770
40,47922,"Brook, Indiana",1755,0.0769
41,46222,"Indianapolis, Indiana",36364,0.0738
42,46408,"Gary, Indiana",20299,0.0738
43,46542,"Milford, Indiana",3897,0.0736
44,46601,"South Bend, Indiana",6233,0.0729
45,46580,"Warsaw, Indiana",21298,0.0728
46,46225,"Indianapolis, Indiana",8262,0.0704
47,46616,"South Bend, Indiana",7345,0.0691
48,46556,"Notre Dame, Indiana",6747,0.0689
49,46260,"Indianapolis, Indiana",31502,0.0675
50,47909,"Lafayette, Indiana",29924,0.0672
