_id,DISTRICT,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST,POSITIVITY_RATE_ALL_TESTS,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
1,1,02/26/20,2,0,1,100,2
2,1,02/27/20,0,0,0,0,0
3,1,02/28/20,0,0,2,0,0
4,1,02/29/20,0,0,0,0,0
5,1,03/01/20,0,0,0,0,0
6,1,03/02/20,0,0,0,0,0
7,1,03/03/20,0,0,0,0,0
8,1,03/04/20,0,0,0,0,0
9,1,03/05/20,0,0,0,0,0
10,1,03/06/20,0,0,0,0,0
11,1,03/07/20,0,0,1,0,0
12,1,03/08/20,0,0,0,0,0
13,1,03/09/20,0,0,0,0,0
14,1,03/10/20,0,0,2,0,0
15,1,03/11/20,0,0,3,0,0
16,1,03/12/20,3,0,25,12,3
17,1,03/13/20,1,0,16,6.25,1
18,1,03/14/20,2,0,155,1.290323,2
19,1,03/15/20,2,0,23,8.695652,2
20,1,03/16/20,6,0,77,3.658537,6
21,1,03/17/20,15,0,120,13.22314,15
22,1,03/18/20,15,0,188,8.947368,15
23,1,03/19/20,20,0,203,10.606061,20
24,1,03/20/20,17,0,186,8.602151,17
25,1,03/21/20,12,0,91,13.829787,12
26,1,03/22/20,9,0,90,9.782609,9
27,1,03/23/20,24,0,182,13.043478,24
28,1,03/24/20,24,0,125,18.656716,24
29,1,03/25/20,26,1,189,13.846154,26
30,1,03/26/20,40,1,189,21.827411,40
31,1,03/27/20,49,0,247,20,49
32,1,03/28/20,27,0,112,23.931624,27
33,1,03/29/20,25,3,90,25.806452,25
34,1,03/30/20,62,2,312,21.406728,62
35,1,03/31/20,73,2,315,22.590361,73
36,1,04/01/20,65,0,281,22.413793,65
37,1,04/02/20,52,2,252,21.621622,52
38,1,04/03/20,55,2,269,20.640569,55
39,1,04/04/20,24,0,106,22.018349,24
40,1,04/05/20,27,2,95,28.15534,27
41,1,04/06/20,70,3,299,23.548387,70
42,1,04/07/20,72,5,285,24.496644,72
43,1,04/08/20,108,6,463,22.532189,108
44,1,04/09/20,93,6,502,19.140625,93
45,1,04/10/20,78,2,504,15.264188,78
46,1,04/11/20,41,2,298,13.907285,41
47,1,04/12/20,17,5,72,20.253165,17
48,1,04/13/20,94,6,452,22.245322,94
49,1,04/14/20,186,7,539,33.745583,186
50,1,04/15/20,72,2,469,16.463415,72
51,1,04/16/20,111,3,599,19.255663,111
52,1,04/17/20,82,5,539,16.319444,82
53,1,04/18/20,53,3,194,31.140351,53
54,1,04/19/20,41,6,142,28.488372,41
55,1,04/20/20,117,2,602,19.662058,117
56,1,04/21/20,106,4,523,21.153846,106
57,1,04/22/20,74,5,391,18.518519,74
58,1,04/23/20,83,4,316,19.94302,83
59,1,04/24/20,86,4,264,23.69338,86
60,1,04/25/20,56,2,252,19.850187,56
61,1,04/26/20,56,5,362,16.180371,56
62,1,04/27/20,93,5,673,15.477793,93
63,1,04/28/20,107,2,566,19.905956,107
64,1,04/29/20,114,3,557,20.545746,114
65,1,04/30/20,95,10,679,14.304124,95
66,1,05/01/20,82,6,715,13.043478,82
67,1,05/02/20,54,4,346,15.736041,54
68,1,05/03/20,43,3,340,12.631579,43
69,1,05/04/20,95,2,872,11.751904,95
70,1,05/05/20,145,6,1047,14.739414,145
71,1,05/06/20,80,7,631,14.366197,80
72,1,05/07/20,83,7,802,12.076749,83
73,1,05/08/20,77,6,949,8.552632,77
74,1,05/09/20,79,4,672,11.265647,79
75,1,05/10/20,20,7,267,8.143322,20
76,1,05/11/20,68,6,883,8.211144,68
77,1,05/12/20,99,5,938,9.972553,99
78,1,05/13/20,57,4,634,9.350649,57
79,1,05/14/20,79,3,977,9.20354,79
80,1,05/15/20,76,7,1291,6.813489,76
81,1,05/16/20,67,6,623,10.102489,67
82,1,05/17/20,42,4,478,8.206107,42
83,1,05/18/20,88,9,901,10.268714,88
84,1,05/19/20,78,6,690,11.448598,78
85,1,05/20/20,99,8,903,11.31528,99
86,1,05/21/20,119,5,937,12.5,119
87,1,05/22/20,89,3,1223,7.47331,89
88,1,05/23/20,64,4,600,10.798817,64
89,1,05/24/20,22,4,362,6.971154,22
90,1,05/25/20,23,2,256,9.210526,23
91,1,05/26/20,82,4,728,9.706546,82
92,1,05/27/20,65,2,812,8.51927,65
93,1,05/28/20,87,2,1130,7.637402,87
94,1,05/29/20,69,7,1038,6.275805,69
95,1,05/30/20,33,2,483,6.914894,33
96,1,05/31/20,19,4,355,5.811138,19
97,1,06/01/20,64,4,880,7.574391,64
98,1,06/02/20,34,5,594,5.639098,34
99,1,06/03/20,41,4,579,7.54717,41
100,1,06/04/20,43,4,719,6.979405,43
101,1,06/05/20,55,3,1006,5.955335,55
102,1,06/06/20,14,2,475,3.201507,14
103,1,06/07/20,22,3,328,5.36193,22
104,1,06/08/20,48,2,838,5.853659,48
105,1,06/09/20,45,5,699,6.884481,45
106,1,06/10/20,34,1,767,5.672269,34
107,1,06/11/20,49,2,953,6.011854,49
108,1,06/12/20,52,1,1081,5.505952,52
109,1,06/13/20,21,2,676,3.789731,21
110,1,06/14/20,27,0,402,4.635762,27
111,1,06/15/20,58,0,1169,5.299861,58
112,1,06/16/20,47,4,847,5.601318,47
