_id,Year,County Name,Race/Ethnicity,No Early Prenatal Care,Births,SUIDS,Infant Dealths Counts,Preterm Birth,Female Population Age 15-44
1,2014,Crawford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,3
2,2014,Howard,Non-Hispanic Black,42,106,Suppressed,Suppressed,Suppressed,1219
3,2014,Jay,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,7
4,2014,Parke,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,272
5,2014,Posey,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,43
6,2014,Warren,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,4
7,2015,Blackford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,6
8,2015,Clark,Non-Hispanic Black,44,110,Suppressed,Suppressed,17,1797
9,2015,Clay,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
10,2015,Jasper,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,65
11,2015,Madison,Non-Hispanic Black,48,147,Suppressed,Suppressed,Suppressed,1965
12,2015,Orange,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
13,2015,Vermillion,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,5
14,2015,Whitley,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,20
15,2016,Clark,Non-Hispanic Black,51,123,Suppressed,Suppressed,Suppressed,1820
16,2016,Crawford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,5
17,2016,De Kalb,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,26
18,2016,Dubois,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,43
19,2016,Lagrange,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,28
20,2016,Warrick,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,170
21,2017,Brown,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
