date_value,regex_format
7/17/2022," \d{1,2}/\d{1,2}/\d{4}"
5-Jul-11, \d{2} \w{3} \d{4}
5-Jul-11, \d{2} \w{3} \d{4}
17 febbraio 2022 , \d{2} \w+ \d{4}
17 de Julio 2022, \d{2} de \w+ \d{4}
17. Juli 2022   , \d{2}. \w+ \d{4}
17.07.2022      , \d{2}.\d{2}.\d{4}
17/07/22        , \d{2}/\d{2}/\d{2}
17/07/2022      , \d{2}/\d{2}/\d{4}
17-07-22        , \d{2}-\d{2}-\d{2}
17-Jul, \d{2}-\w{3}
26-Feb-20, \d{2}-\w{3}-\d{2}
2022.07.17 15:30:00     , \d{4}\.\d{2}\.\d{2}\s\d{2}:\d{2}:\d{2}
2022.07.17 15:30:00.123456789 , \d{4}\.\d{2}\.\d{2}\s\d{2}:\d{2}:\d{2}\.\d{9}
7/17/2022, \d{4}-\d{2}-\d{2}
2022-07-17T15:30:00     , \d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}
17-Jul, \w{3}-\d{2}
17-Jul-22," \w+ \d{1,2}, \d{4}"
72022,(0[1-9]|1[0-2])\d{4}
7/17/2022,"\d{1,2}/\d{1,2}/\d{4}"
202207,\d{4}(0[1-9]|1[0-2])
2022.07.17 15:30:00,\d{4}\.\d{2}\.\d{2}\s\d{2}:\d{2}:\d{2}
2022.07.17 15:30:00.123456789,\d{4}\.\d{2}\.\d{2}\s\d{2}:\d{2}:\d{2}\.\d{9}
7/17/2022,\d{4}-\d{2}-\d{2}
2022-07-17T15:30:00,\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}
20220314,\d{4}\d{2}\d{2}
13022022,\d{2}\d{2}\d{4}
2132022,(0[1-9]|1[0-2])\d{2}\d{4}
