GEO_ID,NAME,NAME_ONLY
01001,Autauga County,Autauga
01003,Baldwin County,Baldwin
01005,Barbour County,Barbour
01007,Bibb County,Bibb
01009,Blount County,Blount
01011,Bullock County,Bullock
01013,Butler County,Butler
01015,Calhoun County,Calhoun
01017,Chambers County,Chambers
01019,Cherokee County,Cherokee
01021,Chilton County,Chilton
01023,Choctaw County,Choctaw
01025,Clarke County,Clarke
01027,Clay County,Clay
01029,Cleburne County,Cleburne
01031,Coffee County,Coffee
01033,Colbert County,Colbert
01035,Conecuh County,Conecuh
01037,Coosa County,Coosa
01039,Covington County,Covington
01041,Crenshaw County,Crenshaw
01043,Cullman County,Cullman
01045,Dale County,Dale
01047,Dallas County,Dallas
01049,De Kalb County,De Kalb
01051,Elmore County,Elmore
01053,Escambia County,Escambia
01055,Etowah County,Etowah
01057,Fayette County,Fayette
01059,Franklin County,Franklin
01061,Geneva County,Geneva
01063,Greene County,Greene
01065,Hale County,Hale
01067,Henry County,Henry
01069,Houston County,Houston
01071,Jackson County,Jackson
01073,Jefferson County,Jefferson
01075,Lamar County,Lamar
01077,Lauderdale County,Lauderdale
01079,Lawrence County,Lawrence
01081,Lee County,Lee
01083,Limestone County,Limestone
01085,Lowndes County,Lowndes
01087,Macon County,Macon
01089,Madison County,Madison
01091,Marengo County,Marengo
01093,Marion County,Marion
01095,Marshall County,Marshall
01097,Mobile County,Mobile
01099,Monroe County,Monroe
01101,Montgomery County,Montgomery
01103,Morgan County,Morgan
01105,Perry County,Perry
01107,Pickens County,Pickens
01109,Pike County,Pike
01111,Randolph County,Randolph
01113,Russell County,Russell
01115,St Clair County,St Clair
01117,Shelby County,Shelby
01119,Sumter County,Sumter
01121,Talladega County,Talladega
01123,Tallapoosa County,Tallapoosa
01125,Tuscaloosa County,Tuscaloosa
01127,Walker County,Walker
01129,Washington County,Washington
01131,Wilcox County,Wilcox
01133,Winston County,Winston
02013,Aleutians East County,Aleutians East
02016,Aleutians West County,Aleutians West
02020,Anchorage County,Anchorage
02050,Bethel County,Bethel
02060,Bristol Bay County,Bristol Bay
02068,Denali County,Denali
02070,Dillingham County,Dillingham
02090,Fairbanks North Star County,Fairbanks North Star
02100,Haines County,Haines
02110,Juneau County,Juneau
02122,Kenai Peninsula County,Kenai Peninsula
02130,Ketchikan Gateway County,Ketchikan Gateway
02150,Kodiak Island County,Kodiak Island
02164,Lake and Peninsula County,Lake and Peninsula
02170,Matanuska Susitna County,Matanuska Susitna
02180,Nome County,Nome
02185,North Slope County,North Slope
02188,Northwest Arctic County,Northwest Arctic
02201,Prince Wales Ketchikan County,Prince Wales Ketchikan
02220,Sitka County,Sitka
02232,Skagway Hoonah Angoon County,Skagway Hoonah Angoon
02240,Southeast Fairbanks County,Southeast Fairbanks
02261,Valdez Cordova County,Valdez Cordova
02270,Wade Hampton County,Wade Hampton
02280,Wrangell Petersburg County,Wrangell Petersburg
02282,Yakutat County,Yakutat
02290,Yukon Koyukuk County,Yukon Koyukuk
04001,Apache County,Apache
04003,Cochise County,Cochise
04005,Coconino County,Coconino
04007,Gila County,Gila
04009,Graham County,Graham
04011,Greenlee County,Greenlee
04012,La Paz County,La Paz
04013,Maricopa County,Maricopa
04015,Mohave County,Mohave
04017,Navajo County,Navajo
04019,Pima County,Pima
04021,Pinal County,Pinal
04023,Santa Cruz County,Santa Cruz
04025,Yavapai County,Yavapai
04027,Yuma County,Yuma
05001,Arkansas County,Arkansas
05003,Ashley County,Ashley
05005,Baxter County,Baxter
05007,Benton County,Benton
05009,Boone County,Boone
05011,Bradley County,Bradley
05013,Calhoun County,Calhoun
05015,Carroll County,Carroll
05017,Chicot County,Chicot
05019,Clark County,Clark
05021,Clay County,Clay
05023,Cleburne County,Cleburne
05025,Cleveland County,Cleveland
05027,Columbia County,Columbia
05029,Conway County,Conway
05031,Craighead County,Craighead
05033,Crawford County,Crawford
05035,Crittenden County,Crittenden
05037,Cross County,Cross
05039,Dallas County,Dallas
05041,Desha County,Desha
05043,Drew County,Drew
05045,Faulkner County,Faulkner
05047,Franklin County,Franklin
05049,Fulton County,Fulton
05051,Garland County,Garland
05053,Grant County,Grant
05055,Greene County,Greene
05057,Hempstead County,Hempstead
05059,Hot Spring County,Hot Spring
05061,Howard County,Howard
05063,Independence County,Independence
05065,Izard County,Izard
05067,Jackson County,Jackson
05069,Jefferson County,Jefferson
05071,Johnson County,Johnson
05073,Lafayette County,Lafayette
05075,Lawrence County,Lawrence
05077,Lee County,Lee
05079,Lincoln County,Lincoln
05081,Little River County,Little River
05083,Logan County,Logan
05085,Lonoke County,Lonoke
05087,Madison County,Madison
05089,Marion County,Marion
05091,Miller County,Miller
05093,Mississippi County,Mississippi
05095,Monroe County,Monroe
05099,Nevada County,Nevada
05101,Newton County,Newton
05103,Ouachita County,Ouachita
05105,Perry County,Perry
05107,Phillips County,Phillips
05109,Pike County,Pike
05111,Poinsett County,Poinsett
05113,Polk County,Polk
05115,Pope County,Pope
05117,Prairie County,Prairie
05119,Pulaski County,Pulaski
05121,Randolph County,Randolph
05123,St Francis County,St Francis
05125,Saline County,Saline
05127,Scott County,Scott
05129,Searcy County,Searcy
05131,Sebastian County,Sebastian
05133,Sevier County,Sevier
05135,Sharp County,Sharp
05137,Stone County,Stone
05139,Union County,Union
05141,Van Buren County,Van Buren
05143,Washington County,Washington
05145,White County,White
05147,Woodruff County,Woodruff
05149,Yell County,Yell
06001,Alameda County,Alameda
06003,Alpine County,Alpine
06005,Amador County,Amador
06007,Butte County,Butte
06009,Calaveras County,Calaveras
06011,Colusa County,Colusa
06013,Contra Costa County,Contra Costa
06015,Del Norte County,Del Norte
06017,El Dorado County,El Dorado
06019,Fresno County,Fresno
06021,Glenn County,Glenn
06023,Humboldt County,Humboldt
06025,Imperial County,Imperial
06027,Inyo County,Inyo
06029,Kern County,Kern
06031,Kings County,Kings
06033,Lake County,Lake
06035,Lassen County,Lassen
06037,Los Angeles County,Los Angeles
06039,Madera County,Madera
06041,Marin County,Marin
06043,Mariposa County,Mariposa
06045,Mendocino County,Mendocino
06047,Merced County,Merced
06049,Modoc County,Modoc
06051,Mono County,Mono
06053,Monterey County,Monterey
06055,Napa County,Napa
06057,Nevada County,Nevada
06059,Orange County,Orange
06061,Placer County,Placer
06063,Plumas County,Plumas
06065,Riverside County,Riverside
06067,Sacramento County,Sacramento
06069,San Benito County,San Benito
06071,San Bernardino County,San Bernardino
06073,San Diego County,San Diego
06075,San Francisco County,San Francisco
06077,San Joaquin County,San Joaquin
06079,San Luis Obispo County,San Luis Obispo
06081,San Mateo County,San Mateo
06083,Santa Barbara County,Santa Barbara
06085,Santa Clara County,Santa Clara
06087,Santa Cruz County,Santa Cruz
06089,Shasta County,Shasta
06091,Sierra County,Sierra
06093,Siskiyou County,Siskiyou
06095,Solano County,Solano
06097,Sonoma County,Sonoma
06099,Stanislaus County,Stanislaus
06101,Sutter County,Sutter
06103,Tehama County,Tehama
06105,Trinity County,Trinity
06107,Tulare County,Tulare
06109,Tuolumne County,Tuolumne
06111,Ventura County,Ventura
06113,Yolo County,Yolo
06115,Yuba County,Yuba
08001,Adams County,Adams
08003,Alamosa County,Alamosa
08005,Arapahoe County,Arapahoe
08007,Archuleta County,Archuleta
08009,Baca County,Baca
08011,Bent County,Bent
08013,Boulder County,Boulder
08014,Broomfield County,Broomfield
08015,Chaffee County,Chaffee
08017,Cheyenne County,Cheyenne
08019,Clear Creek County,Clear Creek
08021,Conejos County,Conejos
08023,Costilla County,Costilla
08025,Crowley County,Crowley
08027,Custer County,Custer
08029,Delta County,Delta
08031,Denver County,Denver
08033,Dolores County,Dolores
08035,Douglas County,Douglas
08037,Eagle County,Eagle
08039,Elbert County,Elbert
08041,El Paso County,El Paso
08043,Fremont County,Fremont
08045,Garfield County,Garfield
08047,Gilpin County,Gilpin
08049,Grand County,Grand
08051,Gunnison County,Gunnison
08053,Hinsdale County,Hinsdale
08055,Huerfano County,Huerfano
08057,Jackson County,Jackson
08059,Jefferson County,Jefferson
08061,Kiowa County,Kiowa
08063,Kit Carson County,Kit Carson
08065,Lake County,Lake
08067,La Plata County,La Plata
08069,Larimer County,Larimer
08071,Las Animas County,Las Animas
08073,Lincoln County,Lincoln
08075,Logan County,Logan
08077,Mesa County,Mesa
08079,Mineral County,Mineral
08081,Moffat County,Moffat
08083,Montezuma County,Montezuma
08085,Montrose County,Montrose
08087,Morgan County,Morgan
08089,Otero County,Otero
08091,Ouray County,Ouray
08093,Park County,Park
08095,Phillips County,Phillips
08097,Pitkin County,Pitkin
08099,Prowers County,Prowers
08101,Pueblo County,Pueblo
08103,Rio Blanco County,Rio Blanco
08105,Rio Grande County,Rio Grande
08107,Routt County,Routt
08109,Saguache County,Saguache
08111,San Juan County,San Juan
08113,San Miguel County,San Miguel
08115,Sedgwick County,Sedgwick
08117,Summit County,Summit
08119,Teller County,Teller
08121,Washington County,Washington
08123,Weld County,Weld
08125,Yuma County,Yuma
09001,Fairfield County,Fairfield
09003,Hartford County,Hartford
09005,Litchfield County,Litchfield
09007,Middlesex County,Middlesex
09009,New Haven County,New Haven
09011,New London County,New London
09013,Tolland County,Tolland
09015,Windham County,Windham
10001,Kent County,Kent
10003,New Castle County,New Castle
10005,Sussex County,Sussex
11001,District of Columbia County,District of Columbia
11031,Montgomery County,Montgomery
12001,Alachua County,Alachua
12003,Baker County,Baker
12005,Bay County,Bay
12007,Bradford County,Bradford
12009,Brevard County,Brevard
12011,Broward County,Broward
12013,Calhoun County,Calhoun
12015,Charlotte County,Charlotte
12017,Citrus County,Citrus
12019,Clay County,Clay
12021,Collier County,Collier
12023,Columbia County,Columbia
12027,De Soto County,De Soto
12029,Dixie County,Dixie
12031,Duval County,Duval
12033,Escambia County,Escambia
12035,Flagler County,Flagler
12037,Franklin County,Franklin
12039,Gadsden County,Gadsden
12041,Gilchrist County,Gilchrist
12043,Glades County,Glades
12045,Gulf County,Gulf
12047,Hamilton County,Hamilton
12049,Hardee County,Hardee
12051,Hendry County,Hendry
12053,Hernando County,Hernando
12055,Highlands County,Highlands
12057,Hillsborough County,Hillsborough
12059,Holmes County,Holmes
12061,Indian River County,Indian River
12063,Jackson County,Jackson
12065,Jefferson County,Jefferson
12067,Lafayette County,Lafayette
12069,Lake County,Lake
12071,Lee County,Lee
12073,Leon County,Leon
12075,Levy County,Levy
12077,Liberty County,Liberty
12079,Madison County,Madison
12081,Manatee County,Manatee
12083,Marion County,Marion
12085,Martin County,Martin
12086,Miami-Dade County,Miami-Dade
12087,Monroe County,Monroe
12089,Nassau County,Nassau
12091,Okaloosa County,Okaloosa
12093,Okeechobee County,Okeechobee
12095,Orange County,Orange
12097,Osceola County,Osceola
12099,Palm Beach County,Palm Beach
12101,Pasco County,Pasco
12103,Pinellas County,Pinellas
12105,Polk County,Polk
12107,Putnam County,Putnam
12109,St Johns County,St Johns
12111,St Lucie County,St Lucie
12113,Santa Rosa County,Santa Rosa
12115,Sarasota County,Sarasota
12117,Seminole County,Seminole
12119,Sumter County,Sumter
12121,Suwannee County,Suwannee
12123,Taylor County,Taylor
12125,Union County,Union
12127,Volusia County,Volusia
12129,Wakulla County,Wakulla
12131,Walton County,Walton
12133,Washington County,Washington
13001,Appling County,Appling
13003,Atkinson County,Atkinson
13005,Bacon County,Bacon
13007,Baker County,Baker
13009,Baldwin County,Baldwin
13011,Banks County,Banks
13013,Barrow County,Barrow
13015,Bartow County,Bartow
